,,,,
,,,,
,S No,,Revant's Approval,
,1,ID Fresh High Protein Paneer,TRUE,
,2,Milky Mist High Protein Paneer,TRUE,
,3,Amul High Protein Paneer,TRUE,
,4,Desi Farms High Protein Paneer,TRUE,
,,,,
,,,,
,,,,
,,,,
,S No,Criteria,Revant's Approval,
,6,"Only milk (or milk solids) and an acidic agent like lime, citric acid, or vinegar.",TRUE,No paragraphs. 
,7,At least 25 g of protein per 100 g.,TRUE,"Milky mist has 50g, and ID has 56g. I think 25g is too less. "
,8,Less than 10 g of fat per 100 g.,TRUE,
